,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１区
,,開票所名,,,,計,大阪市中央区,大阪市西区,大阪市港区,大阪市天王寺区,大阪市浪速区,大阪市東成区
,,得票率,(％),,,55.67,55.29,57.02,55.79,55.59
,重複,長尾敬,自民,前,58歳,70029,36678,9342,14614,9395
,,得票率,(％),,,30.87,30.96,30.44,30.36,31.74
,,小松久,共産,新,64歳,30547,16284,3847,6664,3752
,,得票率,(％),,,13.46,13.75,12.54,13.85,12.67


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１５区
,,開票所名,,,,計,堺市美原区,富田林市,河内長野市,松原市,大阪狭山市,太子町,河南町,千早赤阪村
,,有権者数,,,,390415,31404,92759,88958,100433,48364,11078,12941,4478
,,投票率,(％),,,55.78,52.57,55.83,58.36,52.26,58.00,59.04,58.35,65.68

,,投票者数,,,,217776,16508,51784,51912,52487,28052,6541,7551,2941
,,無効票＋他,,,,5458,432,1231,1193,1410,773,148,207,64
,,有効票,,,,212318,16076,50553,50719,51077,27279,6393,7344,2877

当,重複,浦野靖人,維新,前,48歳,114861,8776,26146,28292,28277,15071,3428,3527,1344
,,得票率,(％),,,54.10,54.59,51.72,55.78,55.36,55.25,53.62,48.03,46.72
,重複,加納陽之助,自民,新,41歳,67887,5653,16764,15093,15979,8443,2063,2813,1079
,,得票率,(％),,,31.97,35.16,33.16,29.76,31.28,30.95,32.27,38.30,37.50
,,為仁史,共産,新,72歳,29570,1647,7643,7334,6821,3765,902,1004,454
,,得票率,(％),,,13.93,10.25,15.12,14.46,13.35,13.80,14.11,13.67,15.78


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１６区
,,開票所名,,,,計,堺市堺区,堺市東区,堺市北区
,,有権者数,,,,326278,122555,72187,131536
,,投票率,(％),,,55.50,53.99,56.56,56.33

,,投票者数,,,,181084,66163,40831,74090
,,無効票＋他,,,,14662,5127,3200,6335
,,有効票,,,,166422,61036,37631,67755

当,,北側一雄,公明,前,68歳,84563,31608,19487,33468
,,得票率,(％),,,50.81,51.79,51.78,49.40
,重複,森山浩行,立民,前,50歳,72571,26089,16033,30449
